,Epoch,Total_loss,Recon_loss,Kl_loss
0,0,48479.77428246897,48393.66504598848,86.10915362581294
1,1,17681.839968417553,17642.935297539894,38.904663248265045
2,2,7661.877538369902,7636.617128629211,25.260399980747952
3,3,4261.447305449357,4243.119369182181,18.32795841812242
4,4,2826.466398631427,2812.193572348737,14.272822576211698
5,5,2147.1730333693486,2134.0888784422095,13.08415886019984
6,6,1780.5379283715647,1770.7639056266623,9.774025517998012
7,7,1558.274034865359,1550.9871038342199,7.286935342964551
8,8,1417.6373091893838,1411.3963423925088,6.24096731936678
9,9,1324.9114202404699,1319.9436944190493,4.967727935060542
10,10,1259.214918204233,1255.1291391359152,4.085774934038203
11,11,1210.1988585992908,1206.6677098916778,3.531143989968807
12,12,1176.4351243905141,1173.4262885776818,3.00884092784097
13,13,1149.8784976174645,1147.1796346894394,2.698856240468668
14,14,1128.9217918882978,1126.466865269005,2.4549258321735032
15,15,1112.7384769087987,1110.7162453942265,2.0222340754583374
16,16,1100.457452002992,1098.553425241024,1.9040255022387134
17,17,1090.289247769836,1088.602581484098,1.6866707497454705
18,18,1082.8653456234763,1081.4143165967143,1.4510279627556497
19,19,1074.0014081373283,1072.6542219878934,1.3471878889604663
20,20,1067.571924087849,1066.34175921501,1.2301684245995597
21,21,1062.1991949419603,1061.0901238191213,1.1090726357825258
22,22,1053.3765838839483,1052.3855062714706,0.9910714896858162
23,23,1049.9092454842641,1049.0365150397552,0.8727319105297116
24,24,1045.493796057735,1044.6991572819702,0.794640414258267
25,25,1041.287055265819,1040.6507373566324,0.6363176823930538
26,26,1037.99886024421,1037.409941977643,0.5889198989310163
27,27,1035.1208530723625,1034.6734718701518,0.4473820258962347
28,28,1032.8203744009031,1032.4166783542498,0.4036965575201292
29,29,1030.4273798516456,1030.109993576158,0.31738509977540225
30,30,1028.5539996640903,1028.263377521055,0.2906212734837904
31,31,1026.8363270861037,1026.578334510749,0.2579947960503558
32,32,1025.4017723570478,1025.1857797609152,0.21599020190695498
33,33,1023.6685288882425,1023.4996779421542,0.16885014549426153
34,34,1022.6528480475675,1022.5043534082724,0.14849288402296973
35,35,1021.4051202002992,1021.2853770154587,0.11973953616957292
36,36,1020.1456142993684,1020.0533771920711,0.09223838710615821
37,37,1019.0893900986259,1019.0152224276928,0.0741703527986158
38,38,1018.3268337385028,1018.2604824634309,0.06634941422347482
39,39,1017.1778036347517,1017.1227157268119,0.055088953531168876
40,40,1016.4409357165614,1016.3917167068373,0.04922344274026282
41,41,1015.4877020653258,1015.444537656527,0.04316483433391397
42,42,1014.6358577647107,1014.5967091228945,0.03915009286307485
43,43,1014.2980472212987,1014.2628126212046,0.03523586932833947
44,44,1013.7363263935063,1013.7032994479998,0.033025056216205266
45,45,1013.4388717759585,1013.4099285585661,0.028942495782641655
46,46,1013.9227939903313,1013.8899817500554,0.03281821052920311
47,47,1022.2792709025931,1022.1929987914174,0.08627391737350758
48,48,1016.05803014877,1016.0295942590592,0.028437371735612973
49,49,1015.1325497458167,1015.1056960085605,0.02685527426871002
50,50,1014.4530154830175,1014.4284996952571,0.024511488640007188
51,51,1013.9341257514683,1013.9121154352283,0.022011017043751184
52,52,1013.3804814764794,1013.360680546321,0.01980297541549654
53,53,1013.2124473625887,1013.1940952598626,0.01835699414781539
54,54,1012.6652230337156,1012.6490829143119,0.01614350867160457
55,55,1012.4274854727671,1012.4135413203679,0.013942332523841913
56,56,1012.1035896463598,1012.0902134239251,0.013378435659968683
57,57,1011.8350146138076,1011.8222470114417,0.012767710985536588
58,58,1011.4580160370955,1011.4475703679078,0.01044642475453463
59,59,1010.558264766179,1010.5476182437112,0.010645360816336165
60,60,1010.4178449481938,1010.4081485829455,0.00969801332012268
61,61,1010.0614446545324,1010.0518850772938,0.009557939842937792
62,62,1009.9248202709441,1009.9163835674312,0.008435311945194894
63,63,1009.6935420475953,1009.6857304133422,0.007809612793511057
64,64,1009.6360019115691,1009.6288997568982,0.007098785642012689
65,65,1009.2831840785683,1009.2757434168606,0.007443261644076424
66,66,1009.0869612457059,1009.0805001766124,0.006462730962703837
67,67,1008.8963545129654,1008.889821154006,0.006532337381966835
68,68,1008.8616631690492,1008.8556557513298,0.006005757469320604
69,69,1008.6651533410904,1008.6590835895944,0.006067811598974868
70,70,1008.540771484375,1008.5351359049479,0.005636708433607738
71,71,1008.4101428309231,1008.4048444599125,0.005301492617313637
72,72,1008.180218202848,1008.1752886400155,0.0049297847918809415
73,73,1008.1261934320977,1008.1216608142176,0.00453077372062806
74,74,1008.7843723161847,1008.7658089712156,0.018564884595454058
75,75,1010.2486342842698,1010.2337057776485,0.014930296121231208
76,76,1008.4820846665835,1008.4676479041999,0.014433224711910629
77,77,1007.7816789775875,1007.7689364818816,0.012741473918708028
