,Epoch,silhouette,recon_loss,kl_loss,total_loss
0,0,0.0063495617,0.01024043740347979,8.701907424586461e-05,0.010327456485982059
1,1,-0.0052590636,0.01022767386537917,1.6466974444380434e-07,0.010227838517926264
2,2,-0.027898693,0.010212918010322338,1.6277681638647741e-07,0.010213080773803783
3,3,0.07392286,0.010203837509537843,1.8954102195474405e-07,0.010204027050194587
4,4,0.0025794462,0.010198494313773534,5.651093990586528e-07,0.010199059408607212
5,5,0.017219536,0.010197162430020088,1.9970666781251143e-06,0.010199159509271171
6,6,0.033533357,0.01019869520863954,6.0544321381357755e-06,0.010204749611199748
7,7,0.049766026,0.010208224745612619,4.0841435044277306e-05,0.010249066159974599
8,8,0.06355559,0.010209017281308241,0.00015985986342940953,0.010368877136749579
9,9,0.10106598,0.010210874853721748,0.0007308554657279176,0.010941730336622988
10,10,0.17528722,0.010210096446387734,0.002186725268153646,0.012396821758795714
11,11,0.22747916,0.010204441039591816,0.002401573491672464,0.012606014629680636
12,12,0.2679497,0.010205361648654262,0.0026496769582971622,0.012855038707349317
13,13,0.30404374,0.010202497296722223,0.002762671043528311,0.012965168394412556
14,14,0.35457066,0.01019746740183509,0.0030228389598799094,0.013220306459470844
15,15,0.38430506,0.010197619253650625,0.0030642804445315764,0.013261899801222145
16,16,0.41528645,0.010193843249205156,0.003143387989319386,0.013337231327033213
17,17,0.43874967,0.010194313263269604,0.0030969650398754915,0.013291278385048639
18,18,0.4619978,0.010192983182715186,0.003134843606686763,0.013327826897725992
19,19,0.46902907,0.010190402917194029,0.0031236132170925756,0.013314016196374776
20,20,0.48577997,0.010189210375150045,0.00305482417556411,0.013244034603555152
21,21,0.5039338,0.010186075041374417,0.003050260635502373,0.013236335775953657
22,22,0.50605285,0.010187228309347275,0.0029652654952931064,0.013152493837666004
23,23,0.5229825,0.010185733787609752,0.0028581873810988793,0.013043921229475779
24,24,0.53756607,0.010183837766765702,0.002920465833170618,0.013104303654098341
25,25,0.54749703,0.010183324489134846,0.0028083657647701007,0.01299169030806697
26,26,0.54860115,0.010184604648157215,0.0027917481998496864,0.0129763528849956
27,27,0.5684798,0.010184917057342563,0.0028169267540071024,0.01300184390382141
28,28,0.5796178,0.010184323309478185,0.0026714139928420396,0.012855737377618644
29,29,0.5890993,0.01018476583301387,0.0026787675824676833,0.012863533525126623
30,30,0.5881715,0.010185962509865878,0.002553252853347479,0.012739215475500476
31,31,0.60193044,0.010184688916337406,0.00260203908204187,0.012786728052541297
32,32,0.61413246,0.01018074325926549,0.002589525394670083,0.01277026873583912
33,33,0.6239797,0.010181063614415784,0.0025299773703441543,0.012711041071947584
34,34,0.62806416,0.010180755544797325,0.002477398899826386,0.012658154486235997
35,35,0.64009315,0.010178762692826014,0.002457401497249908,0.012636164269337417
36,36,0.6473356,0.010180167767965624,0.002255372488408857,0.012435540279492419
37,37,0.66292024,0.010179510320279193,0.002401141527749544,0.012580651922006133
38,38,0.674914,0.01017908743377907,0.0023615496953064245,0.01254063717862393
39,39,0.6748384,0.01017842311676301,0.0022289941444041863,0.012407417283624622
40,40,0.68679523,0.010176665294941859,0.002226031263167342,0.012402696587832262
41,41,0.687356,0.010178389582545199,0.0021856285360846526,0.012364018193267762
42,42,0.70521885,0.010177646545653648,0.0021942333324898203,0.012371879909848067
43,43,0.70703334,0.01017659282351428,0.0020499030346090488,0.01222649587199409
44,44,0.71899766,0.010176804332815587,0.0020884696546122953,0.012265274056781692
45,45,0.72747236,0.010176124150290134,0.0020926275501912785,0.01226875173416755
46,46,0.7264016,0.010175547555934453,0.0019386034373009037,0.012114151044094816
47,47,0.73401535,0.010177121867577658,0.0019278700958858148,0.012104991988562946
48,48,0.75587505,0.010175379336620053,0.002007843458245621,0.012183222833835909
49,49,0.7497297,0.01017336625315196,0.0018276171012391858,0.012000983362977809
50,50,0.7588188,0.010173826894544541,0.0018709372345965805,0.012044764156882645
51,51,0.7669702,0.010173951718190037,0.0017906124168571003,0.01196456420506146
52,52,0.7749335,0.01017425988028024,0.001812705320986451,0.01198696521447694
53,53,0.7828685,0.010174465537441115,0.001752147918025441,0.011926613477263467
54,54,0.78299063,0.010173108474952532,0.0017623944564702672,0.011935502957843297
55,55,0.78859067,0.010173449689086447,0.0017347524867307208,0.011908202207521767
56,56,0.7884222,0.010171350989992736,0.001656057694200294,0.011827408686174568
57,57,0.8015323,0.010172642939162592,0.001617056453692998,0.01178969940870789
58,58,0.80195934,0.010171848296432208,0.001446220817057588,0.011618069135286707
59,59,0.8166696,0.010171315652575898,0.0015760846092557226,0.01174740029617827
60,60,0.8171285,0.010170111287358804,0.0015083696329900136,0.01167848093950368
61,61,0.8194843,0.010170050586263338,0.0014545419530824146,0.011624592547932414
62,62,0.82646126,0.010169567949805699,0.0014382598683872125,0.011607827830082136
63,63,0.82084495,0.01016961184085895,0.0014572820830958107,0.011626893918670661
64,64,0.8178401,0.010170150937922035,0.0014001167702970784,0.011570267722750386
65,65,0.83160836,0.010169310204631894,0.001394361261516175,0.011563671482000368
66,66,0.82799685,0.01016853412890688,0.0014094994443052623,0.011578033592367002
67,67,0.84275496,0.010167712008857981,0.0013034481971346318,0.011471160218542348
68,68,0.8512685,0.010166472345854797,0.0012399028230405654,0.011406375194325092
69,69,0.8491839,0.010168010903958311,0.0012303293821342444,0.011398340278166406
70,70,0.84315664,0.010168628225512538,0.0012674309253851146,0.011436059199115063
71,71,0.8518968,0.01016710777205567,0.0012157362634778446,0.011382844028267877
72,72,0.85581833,0.010166728961552289,0.0011981732050181495,0.011364902151708907
